Stars,Position,Name,Class,Ht,Wt,Previous School,New School
3,PF,Akol Arop,JR,5-Jun,203,Nebraska,Omaha
5,PG,Devin Askew,RS FR,3-Jun,198,Kentucky,Texas
2,PF,"Paul Atkinson, Jr.",SR,9-Jun,230,Yale,Notre Dame
2,SG,Hegel Augustin,RSSR,3-Jun,205,Glenville State,Central Connecticut State
2,SG,Chris Austin,RS JR,4-Jun,210,Fordham,Portland
2,SG,Luke Avdalovic,RSSR,5-Jun,190,Northern Arizona,Pacific
2,SG,Leon Ayers III,SR,5-Jun,185,Mercer,Duquesne
2,PF,Kobby Ayetey,SR,8-Jun,220,North Carolina Central,Bowie State
2,PG,Cam Bacote,RSSR,3-Jun,173,Indiana State,Western Carolina
2,PF,Michael Baer,RSSR,7-Jun,212,Iowa,Siena
2,PG,Cadarius Baggett,RS JR,1-Jun,180,Tarleton State,Albany Technical College
2,PF,Evan Bainbridge,JR,9-Jun,205,Kent State,Ashland
2,PG,Adetokunbo Bakare,SO,2-Jun,190,NJIT,Indian Hills Community College
2,PG,Callum Baker,JR,3-Jun,185,Fairleigh Dickinson,Flagler
2,PG,DeVon Baker,SR,2-Jun,190,UNC Asheville,Tulane
4,SG,Jemarl Baker,RSSR,5-Jun,195,Arizona,Fresno State
2,SG,Myles Baker,JR,4-Jun,190,Central Connecticut State,Eastern Illinois
4,C,Will Baker,RS SO,Jul-00,245,Texas,Nevada
2,SG,"James Baker, Jr.",SR,7-Jun,205,Morehead State,UNCW
2,SF,Chad Baker-Mazara,SO,7-Jun,190,Duquesne,San Diego State
3,PF,Chris Baldwin,RS SR,-10,228,Texas Southern,Lincoln (MO)
3,PF,Andre Ball,RS JR,8-Jun,200,Pepperdine,Cal State Dominguez Hills
2,SG,Lincoln Ball,SO,6-Jun,215,George Washington,American
2,PF,Jack Ballantyne,RSSR,-10,240,LIU,Indianapolis
5,C,Oumar Ballo,RS SO,Jul-00,260,Gonzaga,Arizona
3.5,SG,Joe Bamisile,RS FR,4-Jun,194,Virginia Tech,George Washington
2,PF,Kris Bankston,RSSR,9-Jun,230,Little Rock,Norfolk State
2,SF,Demarion Bariffe-Smith,SR,5-Jun,185,Jackson State,Trinity International University
2,C,Luka Barisic,SR,-10,240,UTSA,Western Illinois
2,SG,Chris Barnes,RS SR,4-Jun,205,Eastern Michigan,Life University
3,SG,Cobie Barnes,JR,7-Jun,215,Indiana State,John A. Logan College
2,SG,Shakwon Barrett,RSSR,5-Jun,180,Tennessee State,University of British Columbia Okanagan
2,PF,Chase Barrs,JR,-10,210,Western Michigan,Florida A&M
2,PG,Brendan Barry,RS SR,2-Jun,180,Temple,Dartmouth
3,SF,Bitumba Baruti,RS SR,7-Jun,230,East Carolina,Florida Atlantic
2,SG,Jace Bass,RS JR,3-Jun,175,Louisiana Tech,Cal State Dominguez Hills
2,PF,Giancarlo Bastianoni,SO,8-Jun,215,Presbyterian,North Georgia
2,PF,Daniel Batcho,SO,-11,235,Arizona,Texas Tech
2,SF,Brandon Battle,SR,8-Jun,220,Alabama State,UIC
2,SF,Jamison Battle,JR,7-Jun,225,George Washington,Minnesota
4,SG,RaeQuan Battle,JR,5-Jun,190,Washington,Montana State
4,PG,"Lavar Batts, Jr.",RSSR,3-Jun,185,UNC Asheville,Georgetown College
4,PG,Damion Baugh,JR,4-Jun,195,Memphis,TCU
2,SF,Noah Baumann,RSSR,6-Jun,210,USC,Georgia
2,PF,Hugh Baxter,SR,8-Jun,220,UC San Diego,Point Loma Nazarene
3,PG,Darius Beane,RS JR,3-Jun,175,Northern Illinois,Cal State Northridge
3.7,SG,David Beatty,SR,2-Jun,200,La Salle,North Carolina A&T
2,PF,Markedric Bell,SR,8-Jun,200,Arkansas–Pine Bluff,Prairie View A&M
3,C,"Jimmy Bell, Jr.",JR,-10,295,Saint Louis,Moberly Area Community College
2,SG,Caleb Bellach,JR,6-Jun,190,Montana State,Montana Technological University
2,SG,Myles Belyeu,SR,4-Jun,211,Saginaw Valley State,Southern Indiana
2,PG,Jalen Benjamin,JR,-10,160,UAB,Mount St. Mary's
2,PF,Ameer Bennett,SR,8-Jun,220,Delaware State,Florida Tech
3,C,Iran Bennett,RSSR,-10,322,Marshall,Eastern Kentucky
2,C,Kalin Bennett,JR,-10,320,Kent State,Morehouse
2,SG,Khaleem Bennett,RS JR,4-Jun,200,Central Arkansas,Western Texas College
2,SG,Quinlan Bennett,SR,4-Jun,190,Lamar,Western Illinois
2,SG,Avery Benson,RSSR,4-Jun,195,Texas Tech,Texas
2,PG,Christian Bentley,SR,3-Jun,200,Youngstown State,McMaster University
2,SF,Andrew Bergan,SO,8-Jun,195,North Dakota,Northern State
2,PG,T.J. Berger,RS FR,4-Jun,185,Georgetown,San Diego
2,SG,Rylan Bergersen,SR,6-Jun,210,Central Arkansas,Eastern Washington
2,SG,Nolan Bertain,SR,4-Jun,185,Texas A&M–Corpus Christi,Idaho
2,PG,Lamont Berzat,SR,6-May,155,New Orleans,Mississippi College
3.3,PG,Braxton Beverly,SR,-10,185,NC State,Eastern Kentucky
2,PG,Tai Bibbs,SR,3-Jun,190,Columbia,Howard
2,SF,T.J. Bickerstaff,JR,9-Jun,220,Drexel,Boston College
2,C,Josaphat Bilau,RS SO,-10,235,Wichita State,New Mexico Junior College
2,SF,Christian Bishop,SR,7-Jun,220,Creighton,Texas
2,SG,Kenan Blackshear,JR,6-Jun,215,Florida Atlantic,Nevada
2,SG,Quavon Blackwood,RS JR,Jun-00,198,Mississippi Valley State,Bethune–Cookman
3,SG,Nick Blake,SO,6-Jun,220,UNLV,Pacific
2,PF,Scott Blakney,SR,8-Jun,235,Idaho,Montana
2,SG,Xavier Bledson,RS JR,6-Jun,215,Lincoln Memorial,Indiana State
2,SG,Heru Bligen,JR,3-Jun,190,Longwood,Garden City Community College
2,SF,Jimmy Boeheim,SR,8-Jun,225,Cornell,Syracuse
2,SF,Jake Boggs,JR,7-Jun,200,UNCW,South Florida
2,SF,Naz Bohannon,SR,6-Jun,232,Youngstown State,Clemson
2,C,Moses Bol,RSSR,1-Jul,225,UCF,Milwaukee
2,PF,Jonathan Bolden,SR,6-Jun,215,Kansas City,Bethune–Cookman
2,SG,Dalton Bolon,RSSR,4-Jun,205,West Liberty,College of Charleston
3.5,PG,Rasir Bolton,SR,3-Jun,185,Iowa State,Gonzaga
2,SF,Aaris-Monte Bonds,RSSR,6-Jun,215,Chicago State,Montevallo
2,PG,Dale Bonner,RS JR,2-Jun,170,Fairmont State,Baylor
2,PG,Eric Boone,SR,2-Jun,190,Georgia Southern,North Carolina Central
2,PG,Jadin Booth,SO,2-Jun,180,Omaha,Florida Southern
2,PF,Cameron Boozer,SO,9-Jun,255,Jacksonville,Auburn–Montgomery
2,PF,Zameron Boozer,SO,8-Jun,240,Jacksonville,Auburn–Montgomery
2.5,PG,Greg Bowie II,RSSR,3-Jun,180,Northern Colorado,Texas A&M International
2,SF,Cameron Bowles,RSSR,7-Jun,190,North Carolina Central,Texas A&M International
4,SF,Ryan Boyce,RS JR,7-Jun,210,Georgia State,Henderson State
3,SG,Dedric Boyd,RSSR,4-Jun,185,Illinois State,Tennessee State
2,SF,Robert Boyd,RSSR,5-Jun,205,Arkansas–Pine Bluff,Texas A&M International
2,PG,William Boyer-Richard,SR,1-Jun,185,Western Michigan,Brock University
2,PG,Lorenz Boykin,SO,Jun-00,200,Longwood,Ferrum College
2,PG,Tyre Boykin,SO,1-Jun,180,Kansas City,UNC Pembroke
3,SG,LaDamien Bradford,SO,5-Jun,215,Texas A&M,Louisiana Tech
2.5,PG,Micah Bradford,RS SR,1-Jun,175,Southern,Arizona Christian University
2,PF,Doctor Bradley,RS SO,8-Jun,200,Cal State Fullerton,Salt Lake Community College
4,SG,Matt Bradley,SR,4-Jun,220,California,San Diego State
4,PF,Jaemyn Brakefield,SO,8-Jun,220,Duke,Ole Miss
2,PF,A.J. Bramah,SR,7-Jun,185,Robert Morris,Nevada
2,PF,Chris Brandon,SR,8-Jun,220,Detroit Mercy,Northern Kentucky
2,SF,Robert Braswell IV,RS JR,7-Jun,205,Syracuse,Charlotte
2,PF,Anthony Bratton,SR,8-Jun,236,Texas–Rio Grande Valley,Coppin State
2,PF,Parker Braun,RS JR,-10,215,Missouri,Santa Clara
2,SG,"Jonathan Breeland, Jr.",JR,3-Jun,193,North Alabama,Dodge City Community College
2,PG,Tyler Brelsford,SO,4-Jun,183,George Washington,Bryant
2,C,Austin Brewer,SO,-10,185,Sam Houston State,Hardin–Simmons University
2,SF,Josh Brewer,RS JR,5-Jun,190,Miami (OH),St. Mary's (TX)
2,C,Braelen Bridges,RSSR,-11,240,UIC,Georgia
2,SG,Quinton Brigham,RS SR,5-Jun,215,Texas Southern,Texas Wesleyan University
3,SG,Jordan Brinson,JR,3-Jun,175,Utah Valley,Salt Lake Community College
2,PF,SanAntonio Brinson,SR,8-Jun,200,NJIT,Texas A&M–Corpus Christi
2,PF,Mitch Brizee,RS SO,9-Jun,225,Weber State,Central Washington
3,SG,Izaiah Brockington,RSSR,4-Jun,196,Penn State,Iowa State
2,PG,Justin Brookens,SR,6-May,175,Western Illinois,Northern Michigan
2,PG,Casey Brooks,RS JR,9-May,160,Texas A&M–Kingsville,Lamar
3.7,PF,Garrison Brooks,SR,-10,240,North Carolina,Mississippi State
4,PF,J'Raan Brooks,RS JR,9-Jun,215,Washington,UC San Diego
2,PF,Jordan Brooks,SO,6-Jun,190,Iona,Kansas State
2,SG,Malik Brooks,RS SO,3-Jun,190,Canisius,Iowa Western Community College
3,C,Nysier Brooks,RS SR,-11,245,Miami,Ole Miss
2,SG,Payton Brooks,SO,2-Jun,193,Abilene Christian,University of Mary Hardin–Baylor
2,SG,Peyton Broughton,RSSR,5-Jun,195,Eastern Kentucky,Campbellsville University
4.5,SF,Christian Brown,JR,6-Jun,215,Georgia,Tennessee State
3,PF,Clevon Brown,RS SR,8-Jun,232,Vanderbilt,Florida International
3,SG,Darreus Brown,RSSR,4-Jun,180,New Mexico State,Eastern New Mexico
2,SG,Demiere Brown,RSSR,6-Jun,220,Stephen F. Austin,Lindsey Wilson College
2,SG,Jackson Brown,SO,3-Jun,185,Albany,State University of New York at Fredonia
4,C,Javonte Brown,SO,Jul-00,255,Connecticut,Texas A&M
2,PG,Jon Brown,SR,6-Jun,195,Tennessee State,Bethune–Cookman
4.7,PF,Jordan Brown,RS JR,-11,225,Arizona,Louisiana
2,SG,Justin Brown,SR,6-Jun,208,South Florida,UAB
2,C,Justin Brown,RSSR,-10,210,Wagner,Dominican (CA)
2,SG,Kyle Brown,RSSR,1-Jun,190,Kansas City,Coker
3,SF,Rod Brown,RSSR,7-Jun,202,New Mexico,Jacksonville
2.7,PF,Terrell Brown,SR,-10,235,Pittsburgh,San Diego
2,PG,Tre Brown,RSSR,1-Jun,175,Colorado State–Pueblo,Drexel
2,PF,Tremere Brown,JR,8-Jun,190,Alabama A&M,Wallace State Community College
2,PF,Tyson Brown,SO,9-Jun,200,Robert Morris,Western Texas College
2,SF,"Courtney Brown, Jr.",JR,7-Jun,215,Milwaukee,St. Thomas
2,PG,"Terrell Brown, Jr.",RS SR,3-Jun,175,Arizona,Washington
2,SG,Rasheed Browne,RSSR,2-Jun,182,Texas A&M–Corpus Christi,North Texas
2,PF,Randall Brumant,SR,7-Jun,220,Columbia,Howard
2,PG,Tommy Bruner,RS SO,1-Jun,180,USC Upstate,Jacksonville
4,C,Joey Brunk,RSSR,-11,255,Indiana,Ohio State
2,SG,Tray Buchanan,SR,1-Jun,184,South Dakota State,Emporia State
3,SG,De'Monte Buckingham,RS SR,4-Jun,220,Cal State Bakersfield,UNCG
4,SF,K.J. Buffen,SR,8-Jun,230,Ole Miss,UAB
2.7,PG,Drew Buggs,RS SR,3-Jun,195,Missouri,Winthrop
2,SG,Isaac Bullard,RS FR,4-Jun,226,Army West Point,Dallas Baptist
2,C,Braden Burke,RS SR,Jul-00,240,Central Michigan,Oakland
2,SG,Ryan Burkhardt,SR,5-Jun,185,North Florida,Southeastern Louisiana
4,SG,Antwan Burnett,SO,6-Jun,205,Troy,Shelton State Community College
5,SG,Nimari Burnett,SO,4-Jun,190,Texas Tech,Alabama
2,PF,D.J. Burns,JR,7-Jun,220,Southern,Murray State
2,PG,Draylan Burton,SO,1-Jun,175,Campbell,North Greenville
3,PG,Jamarius Burton,SR,4-Jun,200,Texas Tech,Pittsburgh
2,SG,Austin Butler,SR,5-Jun,210,Holy Cross,Charlotte
2,C,Cameron Butler,SR,-10,205,Cal State Dominguez Hills,North Carolina Central
2,PG,Eric Butler,SO,3-Jun,170,Southern Illinois,Polk State College
2,SG,Yame Butler,SO,5-Jun,205,Fordham,State Fair Community College
2,PF,Trent Buttrick,SR,8-Jun,240,Penn State,Massachusetts
3,SG,Devin Butts,JR,6-Jun,180,Louisiana,New Mexico Junior College
2,PF,Jaylen Butz,RSSR,9-Jun,230,DePaul,Western Kentucky
2,PG,Caleb Byrd,SO,1-Jun,160,Charlotte,Jacksonville State
2,PG,Hakim Byrd,SO,-10,155,Marist,UMBC
2,PG,P.J. Byrd,SR,1-Jun,185,Colorado State,Southern
3.3,SF,Jamal Cain,SR,7-Jun,191,Marquette,Oakland
2,SG,Sardaar Calhoun,RS JR,6-Jun,210,Florida State,Texas Tech
2,SG,Demetrius Calip II,SO,3-Jun,160,UIC,East Los Angeles College
2,PF,Greg Calixte,SR,8-Jun,235,George Mason,Bryant
4,SF,Toumani Camara,JR,8-Jun,220,Georgia,Dayton
2,C,Anthony Cameron,SR,6-Jun,310,Lamar,Friends University
2,PG,Jett Canfield,RS JR,-11,165,Creighton,Drury
3,PF,David Caraher,RSSR,5-Jun,217,St. John's,High Point
4,C,Josh Carlton,SR,-11,245,Connecticut,Houston
2,PG,Cameron Carmical,SR,-10,165,Eastern Kentucky,Campbellsville University
2,PG,JaJuan Carr,RS FR,2-Jun,180,UNCW,Cape Fear Community College
4,PG,Marcus Carr,RSSR,2-Jun,175,Minnesota,Texas
3,PF,Dimon Carrigan,SR,9-Jun,230,Florida International,West Virginia
2,SF,Brandon Carroll,RS SR,7-Jun,210,Florida Southern,William & Mary
2,PG,Sincere Carry,SR,1-Jun,185,Duquesne,Kent State
3.5,PG,Devante Carter,SR,3-Jun,210,Norfolk State,Nicholls
3.5,PF,Grayson Carter,RS JR,9-Jun,225,UT Arlington,Texas Southern
2,PF,Jason Carter,RS SR,8-Jun,227,Xavier,Ohio
2,SG,Michael Carter III,RSSR,5-Jun,175,Long Beach State,Portland State
2,PG,"Chico Carter, Jr.",JR,3-Jun,189,Murray State,South Carolina
2,PG,Jordan Caruso,RS JR,3-Jun,185,California Baptist,Vanguard University of Southern California
2,SG,Matteus Case,RS FR,5-Jun,196,Penn,Providence
2,C,K'suan Casey,SO,9-Jun,275,UT Martin,Southern Indiana
2,PG,Paddy Casey,SR,1-Jun,190,University of the Sciences,Syracuse
3,PG,Xavier Castaneda,SR,1-Jun,188,South Florida,Akron
2,SG,Pedro Castro,RSSR,6-Jun,190,Houston Christian,Duquesne
2,SG,Jayce Catchings,SO,4-Jun,190,UC Irvine,Ottawa University of Arizona
2,PF,Tim Ceaser,JR,9-Jun,210,Coastal Carolina,Utah Valley
2,SF,Samkelo Cele,SR,5-Jun,210,Southern,Marist
2,SG,Matt Cerruti,SR,4-Jun,190,Lock Haven,Albany
2,SF,Luke Champion,RS FR,8-Jun,205,Samford,Missouri Western
3.5,SG,Jay Jay Chandler,SR,4-Jun,180,Texas A&M,South Alabama
3.3,PF,Ethan Chargois,SR,9-Jun,231,SMU,Oklahoma
2,SG,Mason Chase,SO,4-Jun,160,Utah Tech,Snow College
2,C,Brandton Chatfield,RS SO,-10,225,Washington State,Seattle
2,PG,Rodney Chatman,RS SR,1-Jun,215,Dayton,Vanderbilt
2,PG,Tahlik Chavez,JR,2-Jun,160,Iona,Charleston Southern
2,SG,Kyonze Chavis,RS SR,4-Jun,185,Norfolk State,Life University
4.3,SF,Taeshon Cherry,SR,8-Jun,210,Arizona State,GCU
2,PG,Damian Chong-Qui,SR,8-May,155,Mount St. Mary's,Purdue Fort Wayne
2,PF,Noah Christensen,RS SO,9-Jun,200,North Dakota State,Concordia College
2,SG,Ja'Vary Christmas,RS SR,4-Jun,180,Idaho,New Mexico Highlands
3,SF,Michael Christmas,JR,6-Jun,225,James Madison,Longwood
2,PG,Caleb Christopher,RS SO,1-Jun,180,Arizona State,Tennessee Tech
2,PG,J.R. Cison,SO,-10,160,Lindenwood,Morton College
5,C,Moussa Cisse,SO,1-Jul,216,Memphis,Oklahoma State
2,PG,Je'Lani Clark,SO,3-Jun,180,Nevada,North Idaho College
3.7,PF,Tristan Clark,SR,-10,245,Baylor,SMU
2,PG,my 'Tre' Clark III,JR,3-Jun,185,VCU,Northwest Florida State College
2,C,Hugo Clarkin,SO,Jul-00,200,San José State,Sacramento State
2,SG,Donovan Clay,JR,8-Jun,230,Valparaiso,Missouri State
2,PG,Dejuan Clayton,RS SR,2-Jun,190,Coppin State,Hartford
2,PG,"Fred Cleveland, Jr.",JR,9-May,160,North Carolina A&T,Itawamba Community College
2,SG,Cyrie Coates,SR,6-Jun,195,Texas A&M–Corpus Christi,Edinboro
2,PF,Reyhan Cobb,RSSR,9-Jun,185,Grambling State,William Penn University
2,PG,Tre Cobbs,RS SR,Jun-00,190,Kentucky Wesleyan,Georgia Southern
2,SG,Tareq Coburn,RS SR,5-Jun,210,Hofstra,St. John's
2,PG,Tyler Cochran,RS SO,2-Jun,220,Northern Illinois,Ball State
2,PG,"Brian Coffey, Jr.",RSSR,1-Jun,185,Middle Tennessee,Clayton State
4,SG,Dwayne Cohill,RS JR,2-Jun,180,Dayton,Youngstown State
2,SG,Cameron Cohn,RS SO,4-Jun,175,Fordham,Santa Monica College
2,PF,Keenon Cole,JR,7-Jun,215,Northern Illinois,Polk State College
2,SG,Vince Cole,SR,6-Jun,190,St. John's,Coastal Carolina
3,C,Charles Coleman,JR,Jul-00,245,East Carolina,Saint Joseph's
2,PF,Grant Coleman,SO,7-Jun,230,Milwaukee,Bryant
3,SG,Jarron Coleman,RS JR,5-Jun,210,Ball State,Missouri
2,SG,Jonte Coleman,SR,4-Jun,185,UT Martin,Purdue Northwest
4,SF,Henry Coleman III,SO,8-Jun,245,Duke,Texas A&M
2,SF,"Eric Coleman, Jr.",JR,8-Jun,215,High Point,South Plains College
4,SG,Jalen Coleman-Lands,RS SR,4-Jun,190,Iowa State,Kansas
4,PF,JaKobe Coles,SO,7-Jun,225,Butler,TCU
2,PG,Carter Collins,SR,3-Jun,190,Davidson,Murray State
2,SG,David Collins,SR,4-Jun,217,South Florida,Clemson
3,PF,Antavion Collum,JR,8-Jun,240,Ole Miss,Cal State Bakersfield
4,PG,Jalen Cone,JR,-11,175,Virginia Tech,Northern Arizona
2,PG,Aaron Cook,RS SR,1-Jun,180,Gonzaga,Georgia
2,SG,Austin Cook,SO,4-Jun,210,Idaho State,Life Pacific University
4,PG,Jalen Cook,SO,Jun-00,205,LSU,Tulane
2,PG,Zach Cooks,SR,-11,170,NJIT,Hofstra
2,C,Courtese Cooper,RSSR,8-Jun,210,Southern Utah,Shawnee State University
3,SG,DeVon Cooper,RSSR,4-Jun,190,Morehead State,George Mason
2,PG,Kenny Cooper,RS SR,Jun-00,190,Western Kentucky,Tennessee State
2,SG,Noble Cooper,SR,6-Jun,205,Idaho State,Davenport
2,SG,Cameron Copeland,SR,7-Jun,185,College of Charleston,Austin Peay
2,PF,Tyree Corbett,SR,7-Jun,200,Alcorn State,Coppin State
2,SG,Cameron Corcoran,RSSR,1-Jun,170,Florida International,St. Thomas University
2,PF,Xavier Cork,JR,9-Jun,228,Western Carolina,TCU
2,PG,Cooper Cornemann,SO,2-Jun,170,South Dakota State,Mount Marty College
2,PG,Jaheam Cornwall,SR,Jun-00,190,Gardner–Webb,Penn State
2,PG,Virshon Cotton,RSSR,2-Jun,170,LIU,New Mexico State
3,PF,Abdoul Karim Coulibaly,RS SO,9-Jun,235,Pittsburgh,St. Bonaventure
3,SG,"Ben Coupet, Jr.",RS SR,7-Jun,185,Little Rock,Southern Illinois
2,PG,Khristion Courseault,RS JR,2-Jun,180,Nevada,Houston Christian
2,PF,Chase Courtney,RS FR,-10,230,San José State,Arizona State
2,SF,Jordan Cousin,SR,7-Jun,205,Alabama State,Southern Indiana
2,PF,Zion Cousins,SR,9-Jun,205,Howard,Fayetteville State
2,SG,Shawndarius Cowart,SR,3-Jun,190,Hofstra,Grambling State
2,PF,Johan Crafoord,SO,9-Jun,230,Iona,Daytona State College
2,SG,Eddie Creal,SR,4-Jun,200,St. Bonaventure,Lindenwood
2,C,Nick Crocker,RSSR,-10,235,Bryant,New Haven
4,PF,Matt Cross,RS FR,7-Jun,225,Miami,Louisville
2,PF,Manny Crump,SR,8-Jun,220,Sam Houston State,Central Oklahoma
2,PG,"Rafael Cruz, Jr.",SR,3-Jun,190,Western Michigan,Purdue Northwest
2,SG,Michael Cubbage,RS SR,4-Jun,180,Marist,St. Francis Brooklyn
2,SG,Kam'Ron Cunningham,RS JR,7-Jun,205,Mississippi Valley State,Fordham
2,PG,Trevell Cunningham,SR,Jun-00,175,Grambling State,Southern Indiana
2,SG,Jair Currie,SO,4-Jun,175,Maryland Eastern Shore,Pearl River Community College
3,C,Taylor Currie,RS JR,-11,225,Akron,Harding
2,SF,K.K. Curry,JR,6-Jun,205,South Alabama,UT Martin
2,PG,Malik Curry,SR,1-Jun,190,Old Dominion,West Virginia
3,SG,Samari Curtis,JR,4-Jun,190,Evansville,Bowling Green
2,PF,Hayden Curtiss,SO,9-Jun,220,Portland,Portland State
2,PF,Marc Dadika,RS JR,8-Jun,220,Fairleigh Dickinson,Pace
2,PG,Jalen Dalcourt,SR,1-Jun,160,San José State,Louisiana
2,SG,E.J. Dambreville,SR,3-Jun,200,Florida Southern,Manhattan
2,PF,Charlie Daniels,SR,9-Jun,230,Stephen F. Austin,Minnesota
2,SG,Isiah Dasher,SR,4-Jun,170,Portland,Saint Peter's
2,SG,Amari Davis,RS SO,2-Jun,175,Green Bay,Missouri
2,PF,Bryce Davis,SR,7-Jun,215,Incarnate Word,Arizona Christian University
4,SG,Daejon Davis,SR,3-Jun,190,Stanford,Washington
2,PF,Eddie Davis,SR,6-Jun,200,Portland,Cal State San Bernardino
2,PG,Eden Davis,SO,-10,180,Texas A&M–Corpus Christi,Young Harris
2,SG,Garren Davis,JR,4-Jun,200,Loyola (MD),Clarendon College
2,SG,Jaylen Davis,RS SO,3-Jun,200,Merrimack,Caldwell
3,SG,Jordan Davis,RSSR,3-Jun,195,Middle Tennessee,Jacksonville
3,SF,Jyare Davis,RS FR,7-Jun,215,Providence,Delaware
2,SG,n 'K.J.' Davis,RSSR,5-Jun,180,Samford,Bethune–Cookman
2,SG,Jacob Davison,RS SR,4-Jun,175,Eastern Washington,Cal Poly
2,PG,Antonio Daye,RS JR,2-Jun,205,Florida International,Fordham
2,PF,Fredelin De La Cruz,SR,7-Jun,220,UT Arlington,Angelo State
4.7,PF,Silvio De Sousa,SR,9-Jun,250,Kansas,Chattanooga
2,SF,Ronnie DeGray III,SO,6-Jun,225,Massachusetts,Missouri
2,PF,Matt DeWolf,SR,9-Jun,235,Brown,Washington State
2,PG,Tytist Dean,RS JR,Jun-00,180,Liberty,Cedarville
